Gene,p.value,P.adjusted.BH,logFC,Gene.symbol
213712_at,2.13e-05,0.00073391,-1.3384351,ELOVL2
213714_at,2.66e-05,0.000874388,-1.1884931,CACNB2
213737_x_at,0.000263019,0.004537033,-1.0748801,GOLGA8N
213974_at,1.16e-05,0.00047304,-1.3462188,ADAMTSL3
214044_at,7.77e-05,0.001886759,-1.6470858,RYR2
214078_at,0.000373174,0.005792034,-2.5071234,PAK3
214156_at,8.87e-06,0.000390675,-2.3427508,MYRIP
214157_at,0.000123132,0.002637095,-1.3309341,GNAS
214582_at,0.000177065,0.003405865,-1.063287,PDE3B
214607_at,2.86e-05,0.000920261,-2.1126873,PAK3
214680_at,0.000314596,0.005131139,-1.2339769,NTRK2
214767_s_at,0.000123355,0.002640836,-1.2454826,HSPB6
214829_at,0.000728695,0.00903023,-1.1451189,AASS
214834_at,2.83e-08,5.65e-06,-1.0831339,PWAR5
214961_at,0.000161909,0.003188727,-2.3299682,MTUS2
215028_at,2.43e-05,0.000814537,-1.1630979,SEMA6A
215506_s_at,6.32e-07,5.58e-05,-2.2432041,DIRAS3
215563_s_at,0.000668998,0.008562724,-1.7964796,MST1L
215726_s_at,0.000234316,0.004172388,-1.1930046,CYB5A
216048_s_at,0.000673512,0.008604101,-1.0621516,RHOBTB3
216336_x_at,3.92e-06,0.000214043,-1.2731805,MT1E
217165_x_at,6.21e-06,0.000300234,-1.6208113,MT1F
217546_at,5.43e-09,1.6e-06,-2.3626471,MT1M
217617_at,4.43e-05,0.001252988,-1.2437289,nan
217904_s_at,0.000496027,0.007049052,-1.8149867,BACE1
217966_s_at,3.49e-05,0.001054627,-1.6379657,FAM129A
217967_s_at,8.64e-06,0.000383659,-1.6654347,FAM129A
218168_s_at,0.000565471,0.007674181,-1.0840856,COQ8A
218332_at,5.57e-07,5.07e-05,-2.5480075,BEX1
218517_at,0.00045934,0.006691846,-1.0992661,JADE1
218692_at,0.000551644,0.007558193,-2.1190151,SYBU
