Gene,p.value,P.adjusted.BH,logFC,Gene.symbol
1569263_at,1.21e-07,1.64e-05,1.3584438,nan
1569603_at,1.53e-07,1.93e-05,1.0118466,nan
1570482_at,5.97e-06,0.00029147,1.1007851,nan
200625_s_at,0.000184028,0.003493331,1.3075019,CAP1
200638_s_at,2.04e-06,0.000133081,1.1613001,YWHAZ
200640_at,2.05e-06,0.000133148,1.1204954,YWHAZ
200641_s_at,4.01e-05,0.001162242,1.2560688,YWHAZ
200644_at,5.35e-07,4.91e-05,2.0926454,MARCKSL1
200650_s_at,9.25e-05,0.00213341,1.2585742,LDHA
200660_at,1.44e-05,0.000551701,2.2821592,S100A11
200661_at,0.000142716,0.002924632,1.2916327,CTSA
200664_s_at,5.1e-07,4.75e-05,1.4269836,DNAJB1
200666_s_at,2.78e-07,3.03e-05,1.518874,DNAJB1
200677_at,1.35e-05,0.000529734,1.1983692,PTTG1IP
200737_at,1.97e-08,4.3e-06,1.6377585,PGK1
200738_s_at,3.19e-08,6.28e-06,1.1883759,PGK1
200750_s_at,0.000645766,0.008361015,1.1692602,RAN
200752_s_at,4.67e-07,4.44e-05,1.0097442,CAPN1
200755_s_at,0.000337599,0.005397236,1.1259126,CALU
200765_x_at,1.67e-05,0.00062041,1.042324,CTNNA1
200799_at,1.12e-06,8.52e-05,1.2041651,HSPA1B///HSPA1A
200800_s_at,9.66e-08,1.41e-05,1.7892023,HSPA1L///HSPA1B///HSPA1A
200824_at,6.43e-09,1.85e-06,1.1060678,GSTP1
200862_at,2.95e-05,0.000938974,1.4125693,DHCR24
200863_s_at,6.65e-05,0.001691847,1.0332937,RAB11A
200872_at,4.51e-06,0.000236356,1.7964897,S100A10
200885_at,0.000125204,0.002673702,1.0549591,RHOC
200896_x_at,1.04e-07,1.49e-05,1.059156,HDGF
200916_at,6.25e-10,3.29e-07,1.5134271,TAGLN2
200923_at,9.71e-05,0.002214522,1.8871996,LGALS3BP
200931_s_at,0.000200029,0.003725842,1.0354338,VCL
200966_x_at,1.95e-08,4.28e-06,1.1516013,ALDOA
201005_at,1.09e-05,0.000451453,1.5922569,CD9
